Plot Title: Mseleni TC ,,,,,,
#,"Date Time, GMT+02:00","Rainfall, mm (LGR S/N: 20112167, SEN S/N: 20112167)",Coupler Detached (LGR S/N: 20112167),Coupler Attached (LGR S/N: 20112167),Host Connected (LGR S/N: 20112167),End Of File (LGR S/N: 20112167)
338,01/05/23 10:52:40PM,85.3440000000002,,,,
339,01/05/23 10:53:37PM,85.5980000000002,,,,
340,01/05/23 10:54:55PM,85.8520000000002,,,,
341,01/05/23 10:56:07PM,86.1060000000002,,,,
342,01/05/23 10:57:48PM,86.3600000000002,,,,
343,01/05/23 10:59:40PM,86.6140000000002,,,,
344,01/05/23 11:02:01PM,86.8680000000002,,,,
345,01/05/23 11:03:35PM,87.1220000000002,,,,
346,01/05/23 11:05:45PM,87.3760000000002,,,,
347,01/05/23 11:07:40PM,87.6300000000002,,,,
348,01/05/23 11:10:00PM,87.8840000000002,,,,
349,01/05/23 11:12:00PM,88.1380000000003,,,,
350,01/05/23 11:13:23PM,88.3920000000003,,,,
351,01/05/23 11:14:08PM,88.6460000000003,,,,
352,01/05/23 11:14:45PM,88.9000000000003,,,,
353,01/05/23 11:15:16PM,89.1540000000003,,,,
354,01/05/23 11:15:50PM,89.4080000000003,,,,
355,01/05/23 11:16:22PM,89.6620000000003,,,,
356,01/05/23 11:16:51PM,89.9160000000003,,,,
357,01/05/23 11:17:13PM,90.1700000000003,,,,
358,01/05/23 11:17:38PM,90.4240000000003,,,,
359,01/05/23 11:17:59PM,90.6780000000003,,,,
360,01/05/23 11:18:23PM,90.9320000000003,,,,
361,01/05/23 11:18:57PM,91.1860000000003,,,,
362,01/05/23 11:19:44PM,91.4400000000003,,,,
363,01/05/23 11:20:10PM,91.6940000000003,,,,
364,01/05/23 11:20:33PM,91.9480000000003,,,,
365,01/05/23 11:20:52PM,92.2020000000003,,,,
366,01/05/23 11:21:12PM,92.4560000000003,,,,
367,01/05/23 11:21:35PM,92.7100000000003,,,,
368,01/05/23 11:22:07PM,92.9640000000003,,,,
369,01/05/23 11:22:37PM,93.2180000000004,,,,
370,01/05/23 11:23:10PM,93.4720000000003,,,,
371,01/05/23 11:23:33PM,93.7260000000004,,,,
372,01/05/23 11:23:52PM,93.9800000000004,,,,
373,01/05/23 11:24:07PM,94.2340000000004,,,,
374,01/05/23 11:24:27PM,94.4880000000004,,,,
375,01/05/23 11:24:46PM,94.7420000000004,,,,
376,01/05/23 11:25:12PM,94.9960000000004,,,,
377,01/05/23 11:25:34PM,95.2500000000004,,,,
378,01/05/23 11:26:01PM,95.5040000000004,,,,
379,01/05/23 11:26:24PM,95.7580000000004,,,,
380,01/05/23 11:26:46PM,96.0120000000004,,,,
381,01/05/23 11:27:06PM,96.2660000000004,,,,
382,01/05/23 11:27:30PM,96.5200000000004,,,,
383,01/05/23 11:27:56PM,96.7740000000004,,,,
384,01/05/23 11:28:27PM,97.0280000000004,,,,
385,01/05/23 11:28:55PM,97.2820000000004,,,,
386,01/05/23 11:29:24PM,97.5360000000004,,,,
387,01/05/23 11:29:43PM,97.7900000000004,,,,
388,01/05/23 11:30:08PM,98.0440000000004,,,,
389,01/05/23 11:30:34PM,98.2980000000005,,,,
390,01/05/23 11:31:13PM,98.5520000000004,,,,
391,01/05/23 11:31:48PM,98.8060000000005,,,,
392,01/05/23 11:32:38PM,99.0600000000005,,,,
393,01/05/23 11:34:00PM,99.3140000000005,,,,
394,01/05/23 11:36:13PM,99.5680000000005,,,,
395,01/05/23 11:38:33PM,99.8220000000005,,,,
396,01/05/23 11:40:33PM,100.076,,,,
397,01/05/23 11:42:11PM,100.33,,,,
398,01/05/23 11:44:43PM,100.584000000001,,,,
399,01/05/23 11:48:29PM,100.838000000001,,,,
400,01/05/23 11:53:46PM,101.092000000001,,,,
401,01/05/23 11:57:23PM,101.346000000001,,,,
402,01/05/23 11:59:51PM,101.600000000001,,,,
403,01/06/23 12:06:10AM,101.854000000001,,,,
404,01/06/23 12:22:42AM,102.108000000001,,,,
405,01/06/23 12:38:52AM,102.362000000001,,,,
406,01/06/23 12:51:51AM,102.616000000001,,,,
407,01/06/23 01:20:21AM,102.870000000001,,,,
408,01/06/23 03:24:44AM,103.124000000001,,,,
409,01/06/23 03:28:58AM,103.378000000001,,,,
410,01/06/23 03:43:15AM,103.632000000001,,,,
411,01/06/23 03:47:09AM,103.886000000001,,,,
412,01/06/23 04:47:34AM,104.140000000001,,,,
413,01/06/23 05:04:13AM,104.394000000001,,,,
414,01/06/23 06:28:19AM,104.648000000001,,,,
415,01/06/23 06:38:37AM,104.902000000001,,,,
416,01/06/23 06:45:21AM,105.156000000001,,,,
417,01/06/23 06:49:20AM,105.410000000001,,,,
418,01/06/23 06:52:04AM,105.664000000001,,,,
419,01/06/23 06:54:52AM,105.918000000001,,,,
420,01/06/23 06:58:30AM,106.172000000001,,,,
421,01/06/23 07:02:12AM,106.426000000001,,,,
422,01/06/23 07:10:24AM,106.680000000001,,,,
423,01/06/23 07:16:46AM,106.934000000001,,,,
424,01/06/23 07:20:39AM,107.188000000001,,,,
425,01/06/23 07:25:00AM,107.442000000001,,,,
426,01/06/23 07:43:25AM,107.696000000001,,,,
427,01/06/23 07:48:09AM,107.950000000001,,,,
428,01/06/23 07:52:49AM,108.204000000001,,,,
429,01/06/23 07:55:39AM,108.458000000001,,,,
430,01/06/23 08:01:01AM,108.712000000001,,,,
431,01/06/23 08:06:51AM,108.966000000001,,,,
432,01/06/23 08:12:23AM,109.220000000001,,,,
433,01/06/23 08:21:43AM,109.474000000001,,,,
434,01/06/23 08:36:01AM,109.728000000001,,,,
435,01/06/23 08:43:21AM,109.982000000001,,,,
436,01/06/23 09:02:52AM,110.236000000001,,,,
437,01/06/23 09:14:01AM,110.490000000001,,,,
438,01/06/23 09:38:56AM,110.744000000001,,,,
439,01/06/23 09:56:42AM,110.998000000001,,,,
440,01/06/23 08:20:08PM,111.252000000001,,,,
441,01/06/23 08:29:15PM,111.506000000001,,,,
442,01/06/23 09:13:21PM,111.760000000001,,,,
443,01/06/23 09:21:04PM,112.014000000001,,,,
444,01/06/23 09:38:28PM,112.268000000001,,,,
445,01/06/23 09:44:26PM,112.522000000001,,,,
446,01/06/23 09:53:15PM,112.776000000001,,,,
447,01/06/23 10:03:11PM,113.030000000001,,,,
448,01/06/23 10:48:47PM,113.284000000001,,,,
449,01/06/23 11:07:33PM,113.538000000001,,,,
450,01/07/23 07:24:40AM,113.792000000001,,,,
451,01/09/23 12:30:05PM,,,Logged,,
452,01/09/23 12:30:15PM,,,,Logged,
453,01/09/23 12:31:40PM,,,,Logged,
454,01/09/23 12:31:41PM,,Logged,,,
455,01/26/23 06:29:15AM,114.046000000001,,,,
456,01/26/23 11:22:45PM,114.300000000001,,,,
457,01/26/23 11:47:26PM,114.554000000001,,,,
458,01/26/23 11:48:34PM,114.808000000001,,,,
459,01/26/23 11:48:59PM,115.062000000001,,,,
460,01/26/23 11:49:40PM,115.316000000001,,,,
461,01/26/23 11:50:04PM,115.570000000001,,,,
462,01/26/23 11:51:05PM,115.824000000001,,,,
463,01/26/23 11:54:53PM,116.078000000001,,,,
464,01/27/23 12:02:12AM,116.332000000001,,,,
465,01/27/23 01:13:25AM,116.586000000001,,,,
466,01/27/23 03:50:37AM,116.840000000001,,,,
467,01/27/23 06:19:00AM,117.094000000001,,,,
468,01/27/23 06:20:15AM,117.348000000001,,,,
469,01/27/23 06:21:00AM,117.602000000001,,,,
470,01/27/23 06:23:06AM,117.856000000001,,,,
471,01/27/23 06:25:48AM,118.110000000001,,,,
472,01/27/23 06:32:41AM,118.364000000001,,,,
473,01/29/23 08:39:45PM,118.618000000001,,,,
474,02/01/23 02:53:57AM,118.872000000001,,,,
475,02/01/23 02:54:50AM,119.126000000001,,,,
476,02/01/23 02:57:09AM,119.380000000001,,,,
477,02/01/23 02:58:47AM,119.634000000001,,,,
478,02/01/23 03:00:26AM,119.888000000001,,,,
479,02/01/23 03:02:02AM,120.142000000001,,,,
480,02/01/23 03:03:21AM,120.396000000001,,,,
481,02/01/23 03:04:24AM,120.650000000001,,,,
482,02/01/23 03:05:09AM,120.904000000001,,,,
483,02/01/23 03:05:39AM,121.158000000001,,,,
484,02/01/23 03:06:14AM,121.412000000001,,,,
485,02/01/23 03:06:51AM,121.666000000001,,,,
486,02/01/23 03:07:27AM,121.920000000001,,,,
487,02/01/23 03:08:03AM,122.174000000001,,,,
488,02/01/23 03:08:37AM,122.428000000001,,,,
489,02/01/23 03:09:05AM,122.682000000001,,,,
490,02/01/23 03:09:30AM,122.936000000001,,,,
491,02/01/23 03:09:53AM,123.190000000001,,,,
492,02/01/23 03:10:17AM,123.444000000001,,,,
493,02/01/23 03:10:42AM,123.698000000001,,,,
494,02/01/23 03:11:08AM,123.952000000001,,,,
495,02/01/23 03:11:34AM,124.206000000001,,,,
496,02/01/23 03:11:59AM,124.460000000001,,,,
497,02/01/23 03:12:27AM,124.714000000001,,,,
498,02/01/23 03:12:59AM,124.968000000001,,,,
499,02/01/23 03:13:35AM,125.222000000001,,,,
500,02/01/23 03:14:20AM,125.476000000001,,,,
501,02/01/23 03:15:09AM,125.730000000001,,,,
502,02/01/23 03:15:55AM,125.984000000001,,,,
503,02/01/23 03:16:50AM,126.238000000001,,,,
