Plot Title: Sileza camp,,,,,,
#,Date Time,Rainfall (mm)  #20102559,Coupler Detached,Coupler Attached,Host Connected,End Of File
422,21/10/02 16:33:12.0,101.346,,,,
423,21/10/02 16:33:36.0,101.6,,,,
424,21/10/02 16:34:06.0,101.854,,,,
425,21/10/02 16:34:42.0,102.108,,,,
426,21/10/02 16:35:26.0,102.362,,,,
427,21/10/02 16:36:16.0,102.616,,,,
428,21/10/02 16:37:38.0,102.87,,,,
429,21/10/02 16:40:01.0,103.124,,,,
430,21/10/02 17:03:58.0,103.378,,,,
431,21/10/02 17:04:05.0,103.632,,,,
432,21/10/02 17:04:12.0,103.886,,,,
433,21/10/02 17:04:18.0,104.14,,,,
434,21/10/02 17:04:26.0,104.394,,,,
435,21/10/02 17:04:32.0,104.648,,,,
436,21/10/02 17:04:39.0,104.902,,,,
437,21/10/02 17:04:45.0,105.156,,,,
438,21/10/02 17:04:51.0,105.41,,,,
439,21/10/02 17:04:56.0,105.664,,,,
440,21/10/02 17:05:01.0,105.918,,,,
441,21/10/02 17:05:07.0,106.172,,,,
442,21/10/02 17:05:13.0,106.426,,,,
443,21/10/02 17:05:19.0,106.68,,,,
444,21/10/02 17:05:25.0,106.934,,,,
445,21/10/02 17:05:33.0,107.188,,,,
446,21/10/02 17:05:42.0,107.442,,,,
447,21/10/02 17:05:51.0,107.696,,,,
448,21/10/02 17:06:00.0,107.95,,,,
449,21/10/02 17:06:08.0,108.204,,,,
450,21/10/02 17:06:17.0,108.458,,,,
451,21/10/02 17:06:25.0,108.712,,,,
452,21/10/02 17:06:33.0,108.966,,,,
453,21/10/02 17:06:40.0,109.22,,,,
454,21/10/02 17:06:49.0,109.474,,,,
455,21/10/02 17:06:58.0,109.728,,,,
456,21/10/02 17:07:10.0,109.982,,,,
457,21/10/02 17:07:23.0,110.236,,,,
458,21/10/02 17:07:35.0,110.49,,,,
459,21/10/02 17:07:47.0,110.744,,,,
460,21/10/02 17:08:06.0,110.998,,,,
461,21/10/02 17:08:17.0,111.252,,,,
462,21/10/02 17:08:27.0,111.506,,,,
463,21/10/02 17:08:40.0,111.76,,,,
464,21/10/02 17:08:56.0,112.014,,,,
465,21/10/02 17:09:13.0,112.268,,,,
466,21/10/02 17:09:36.0,112.522,,,,
467,21/10/02 17:10:14.0,112.776,,,,
468,21/10/02 17:11:32.0,113.03,,,,
469,21/10/02 17:41:03.0,113.284,,,,
470,21/10/02 17:42:26.0,113.538,,,,
471,21/10/02 17:43:10.0,113.792,,,,
472,21/10/02 17:43:37.0,114.046,,,,
473,21/10/02 17:43:54.0,114.3,,,,
474,21/10/02 17:44:08.0,114.554,,,,
475,21/10/02 17:44:21.0,114.808,,,,
476,21/10/02 17:44:31.0,115.062,,,,
477,21/10/02 17:44:42.0,115.316,,,,
478,21/10/02 17:44:51.0,115.57,,,,
479,21/10/02 17:44:59.0,115.824,,,,
480,21/10/02 17:45:08.0,116.078,,,,
481,21/10/02 17:45:19.0,116.332,,,,
482,21/10/02 17:45:28.0,116.586,,,,
483,21/10/02 17:45:38.0,116.84,,,,
484,21/10/02 17:45:46.0,117.094,,,,
485,21/10/02 17:45:54.0,117.348,,,,
486,21/10/02 17:46:02.0,117.602,,,,
487,21/10/02 17:46:12.0,117.856,,,,
488,21/10/02 17:46:24.0,118.11,,,,
489,21/10/02 17:46:34.0,118.364,,,,
490,21/10/02 17:46:42.0,118.618,,,,
491,21/10/02 17:46:49.0,118.872,,,,
492,21/10/02 17:46:57.0,119.126,,,,
493,21/10/02 17:47:06.0,119.38,,,,
494,21/10/02 17:47:17.0,119.634,,,,
495,21/10/02 17:47:34.0,119.888,,,,
496,21/10/02 17:47:49.0,120.142,,,,
497,21/10/02 17:47:59.0,120.396,,,,
498,21/10/02 17:48:10.0,120.65,,,,
499,21/10/02 17:48:21.0,120.904,,,,
500,21/10/02 17:48:32.0,121.158,,,,
501,21/10/02 17:48:41.0,121.412,,,,
502,21/10/02 17:48:50.0,121.666,,,,
503,21/10/02 17:48:57.0,121.92,,,,
504,21/10/02 17:49:04.0,122.174,,,,
505,21/10/02 17:49:11.0,122.428,,,,
506,21/10/02 17:49:19.0,122.682,,,,
507,21/10/02 17:49:27.0,122.936,,,,
508,21/10/02 17:49:34.0,123.19,,,,
509,21/10/02 17:49:41.0,123.444,,,,
510,21/10/02 17:49:47.0,123.698,,,,
511,21/10/02 17:49:53.0,123.952,,,,
512,21/10/02 17:49:59.0,124.206,,,,
513,21/10/02 17:50:04.0,124.46,,,,
514,21/10/02 17:50:09.0,124.714,,,,
515,21/10/02 17:50:14.0,124.968,,,,
516,21/10/02 17:50:17.0,125.222,,,,
517,21/10/02 17:50:21.0,125.476,,,,
518,21/10/02 17:50:26.0,125.73,,,,
519,21/10/02 17:50:30.0,125.984,,,,
520,21/10/02 17:50:34.0,126.238,,,,
521,21/10/02 17:50:39.0,126.492,,,,
522,21/10/02 17:50:44.0,126.746,,,,
523,21/10/02 17:50:48.0,127,,,,
524,21/10/02 17:50:53.0,127.254,,,,
525,21/10/02 17:51:00.0,127.508,,,,
526,21/10/02 17:51:05.0,127.762,,,,
527,21/10/02 17:51:12.0,128.016,,,,
528,21/10/02 17:51:19.0,128.27,,,,
529,21/10/02 17:51:27.0,128.524,,,,
530,21/10/02 17:51:34.0,128.778,,,,
531,21/10/02 17:51:43.0,129.032,,,,
532,21/10/02 17:51:52.0,129.286,,,,
533,21/10/02 17:52:02.0,129.54,,,,
534,21/10/02 17:52:14.0,129.794,,,,
535,21/10/02 17:52:26.0,130.048,,,,
536,21/10/02 17:52:39.0,130.302,,,,
537,21/10/02 17:52:55.0,130.556,,,,
538,21/10/02 17:53:09.0,130.81,,,,
539,21/10/02 17:53:24.0,131.064,,,,
540,21/10/02 17:53:34.0,131.318,,,,
541,21/10/02 17:53:50.0,131.572,,,,
542,21/10/02 17:54:16.0,131.826,,,,
543,21/10/02 17:55:21.0,132.08,,,,
544,21/10/02 18:23:39.0,132.334,,,,
545,21/10/02 18:24:20.0,132.588,,,,
546,21/10/02 18:24:39.0,132.842,,,,
547,21/10/02 18:24:57.0,133.096,,,,
548,21/10/02 18:25:17.0,133.35,,,,
549,21/10/02 18:25:36.0,133.604,,,,
550,21/10/02 18:25:57.0,133.858,,,,
551,21/10/02 18:26:19.0,134.112,,,,
552,21/10/02 18:26:41.0,134.366,,,,
553,21/10/02 18:27:00.0,134.62,,,,
554,21/10/02 18:27:15.0,134.874,,,,
555,21/10/02 18:27:30.0,135.128,,,,
556,21/10/02 18:27:45.0,135.382,,,,
557,21/10/02 18:28:04.0,135.636,,,,
558,21/10/02 18:28:25.0,135.89,,,,
559,21/10/02 18:28:45.0,136.144,,,,
560,21/10/02 18:29:08.0,136.398,,,,
561,21/10/02 18:29:37.0,136.652,,,,
562,21/10/02 18:30:13.0,136.906,,,,
563,21/10/02 18:30:46.0,137.16,,,,
564,21/10/02 18:31:22.0,137.414,,,,
565,21/10/02 18:32:07.0,137.668,,,,
566,21/10/02 18:34:35.0,137.922,,,,
567,21/10/02 20:06:22.0,138.176,,,,
568,21/10/02 20:07:20.0,138.43,,,,
569,21/10/02 20:08:03.0,138.684,,,,
