# Citation link: https://doi.org/10.15493/OBS.MONITOR.39744624?referrer=observationmonitor.saeon.ac.za
# Data for daily on Ezibomvini AWS
Timestamp,humid_rel_max,humid_rel_min,rad_short_in_avg,rad_short_in_max,rad_short_in_tot,rain_tot,temp_air_avg,temp_air_max,temp_air_min,temp_dew_point_avg,temp_dew_point_max,temp_dew_point_min,wind_dir_avg,wind_speed_avg,wind_speed_max,wind_speed_min,Latitude,Longitude
,pcnt,pcnt,w_per_m2,w_per_m2,mj_per_m2,mm,deg_c,deg_c,deg_c,deg_c,deg_c,deg_c,deg,m_per_sec,m_per_sec,m_per_sec,,
2023-08-15T00:00:00,67.99,14.37,188.0702,729.8684,16.24926,0,18.86,28.4,9.12,1.514,6.383,-1.625,70.09,1.851,11.94,0,-28.864360,29.395070
2023-08-16T00:00:00,90,44.45,185.0269,800.4564,15.98632,0,13.73,21.05,7.917,8.38,11.53,5.785,81.1,1.618,8.78,0,-28.864360,29.395070
2023-08-17T00:00:00,83,38.94,174.2831,786.662,15.05718,0,14.1,21.32,9.3,6.929,8.1,6.168,76.85,1.326,5.17,0,-28.864360,29.395070
2023-08-18T00:00:00,79.38,15.44,168.4578,810.8884,14.55476,0,19.19,29.07,10,4.228,9.33,-1.817,247,1.992,11.78,0,-28.864360,29.395070
2023-08-19T00:00:00,86.7,4.954,196.1283,760.7429,16.94548,0,19.64,28.42,10.35,2.528,9.18,-16.87,321.1,2.921,13.54,0.01,-28.864360,29.395070
2023-08-20T00:00:00,94,43.28,166.9543,796.5424,14.42452,0,14,19.68,9.8,8.81,10,5.919,66.47,1.438,6.23,0,-28.864360,29.395070
2023-08-21T00:00:00,95.1,20.93,214.1745,788.8909,18.50467,0,15.63,24.43,8.33,6.271,10.35,0.215,71.62,1.192,6.41,0,-28.864360,29.395070
2023-08-22T00:00:00,87,6.369,223.9187,798.488,19.34613,0,17.93,31.22,5.827,-1.057,8.77,-10.81,126.7,1.661,11.3,0,-28.864360,29.395070
2023-08-23T00:00:00,46.89,8.17,226.7798,813.592,19.59355,0,18.53,29.1,8.64,-4.121,2.206,-8.55,26.7,2.048,12.69,0,-28.864360,29.395070
2023-08-24T00:00:00,76.65,9.9,223.4322,806.0017,19.30432,0,17.24,29.27,7.944,-1.41,5.756,-7.854,96.2,1.346,10.96,0,-28.864360,29.395070
2023-08-25T00:00:00,88.2,39.17,153.275,973.9161,13.24281,0,12.53,19.27,7.592,6.755,8.87,4.519,85.1,1.03,5.29,0,-28.864360,29.395070
2023-08-26T00:00:00,96.8,14.91,210.593,827.0724,18.19481,0,20.01,29.48,7.309,5.544,10.43,-6.57,332.7,3.41,15.7,0,-28.864360,29.395070
2023-08-27T00:00:00,83.4,4.156,239.2195,837.6575,20.66832,0,15.65,24.02,8.92,-4.736,7.078,-20.83,102.9,3.094,15.59,0.01,-28.864360,29.395070
2023-08-28T00:00:00,87.6,28.91,228.6508,818.9077,19.75497,0,10.81,18.21,3.61,1.161,4.833,-2.6,83.6,1.157,6.74,0,-28.864360,29.395070
2023-08-29T00:00:00,82.3,19.27,235.9489,835.038,20.38527,0,12.45,22.19,3.13,0.307,5.457,-3.767,75.03,1.169,5.78,0,-28.864360,29.395070
2023-08-30T00:00:00,71.22,16.9,236.7435,835.827,20.4544,0,15.74,25.56,6.433,1.1,4.338,-3.052,89.4,1.066,5.69,0,-28.864360,29.395070
2023-08-31T00:00:00,68.56,11.4,230.6346,819.3212,19.9266,0,18.02,28.09,7.378,1.393,6.424,-4.947,96.8,1.138,6.46,0,-28.864360,29.395070
2023-09-01T00:00:00,67.34,11.56,230.1859,828.7958,19.88807,0,19.55,29.21,9.13,0.404,4.976,-4.04,96.3,1.11,6.41,0,-28.864360,29.395070
2023-09-02T00:00:00,86,15.4,225.8159,808.3148,19.50981,0,19.55,29.79,10.8,2.356,10.02,-3.956,46.16,1.915,10.72,0,-28.864360,29.395070
2023-09-03T00:00:00,92.1,15.56,199.5851,766.4261,17.24416,0,19.22,30.51,10.5,7.092,11.13,1.044,17.16,2.191,12.7,0,-28.864360,29.395070
2023-09-04T00:00:00,86.8,24.19,163.141,840.9739,14.09522,0,18.76,28.8,11.21,8.84,11.36,5.888,112.5,1.169,7.2,0,-28.864360,29.395070
2023-09-05T00:00:00,78,10.8,217.1668,837.1903,18.76278,0,22.41,32.28,13.73,3.442,11.89,-3.062,251.3,2.055,10.96,0,-28.864360,29.395070
2023-09-06T00:00:00,98.5,13.17,191.4433,767.4296,16.54031,0,19.73,32.35,9.97,6.914,14.42,-0.738,1.265,2.089,14.05,0,-28.864360,29.395070
2023-09-07T00:00:00,96.4,43.85,163.8714,1095.668,14.15849,0,13.72,20.54,9.18,8.17,11.15,4.754,84.4,1.797,6.21,0,-28.864360,29.395070
2023-09-08T00:00:00,83.3,19.38,252.7187,898.5488,21.83439,0,15.76,25.25,6.702,3.745,7.901,-0.624,91.3,1.063,5.96,0,-28.864360,29.395070
2023-09-09T00:00:00,57.98,15.15,235.5072,996.7715,20.34783,0,19.91,29.1,10.04,1.685,6.767,-2.238,112.3,1.232,6.2,0,-28.864360,29.395070
2023-09-10T00:00:00,52.65,10.81,226.5534,836.2635,19.57399,0,22.38,33.26,9.87,0.197,4.418,-2.244,97.1,1.141,6.09,0,-28.864360,29.395070
2023-09-11T00:00:00,45.77,11.84,217.2593,816.8856,18.77099,0,24.51,35.25,13.25,1.692,7.545,-1.229,211.4,1.518,10.84,0,-28.864360,29.395070
2023-09-12T00:00:00,78.3,13.22,199.1123,805.0978,17.2033,0,19.18,32.41,8.45,4.452,9.43,0.192,75.93,2.8,13.79,0.01,-28.864360,29.395070
2023-09-13T00:00:00,76.63,30.03,214.0688,1264.387,18.49533,0,9.96,16.91,6.011,1.315,4.257,-1.612,44.95,2.252,9.45,0,-28.864360,29.395070
2023-09-14T00:00:00,84.1,34.08,246.1497,942.3599,21.2666,0,13.21,21.86,6.718,4.675,6.594,2.965,78.32,1.208,6.19,0,-28.864360,29.395070
2023-09-15T00:00:00,73.49,18.45,261.4163,929.8982,22.58532,0,19.81,28.87,9.39,4.727,7.561,0.922,293,1.681,9.76,0,-28.864360,29.395070
2023-09-16T00:00:00,63.23,6.506,205.323,1152.27,17.73888,0,21.81,32.55,10.13,-2.965,7.202,-10.89,288.8,2.167,12,0,-28.864360,29.395070
2023-09-17T00:00:00,86.4,7.186,265.8845,1109.47,22.97189,0,20.46,31.5,10.96,-2.817,10.21,-9.89,42.21,2.421,12.97,0.01,-28.864360,29.395070
2023-09-18T00:00:00,88.1,41.45,185.5443,1210.358,16.03047,0,15.08,21.46,11.49,9.05,10.59,7.113,78.07,2.158,8.39,0.01,-28.864360,29.395070
2023-09-19T00:00:00,90.9,15.76,247.1935,908.1842,21.35752,0,18.53,29.28,11.19,7.615,10.88,0.427,23.67,1.588,8.04,0.01,-28.864360,29.395070
2023-09-20T00:00:00,77.98,17.31,205.2081,848.4572,17.72916,0.508,19.49,30.89,11.27,8.28,11.1,1.612,38.17,1.55,15.61,0,-28.864360,29.395070
2023-09-21T00:00:00,88.6,6.733,284.0216,964.9166,24.53946,0,19.6,30.88,8.95,3.435,11.7,-10.04,48.72,1.647,11.89,0,-28.864360,29.395070
2023-09-22T00:00:00,92.6,7.241,270.353,926.0226,23.35417,0,20.68,31.85,12.49,3.655,12.44,-8.37,11.91,1.832,11.94,0,-28.864360,29.395070
2023-09-23T00:00:00,62.94,6.93,288.1716,970.0558,24.89774,0,22.48,33.65,11.99,1.919,11.31,-7.589,64.82,1.532,10.67,0,-28.864360,29.395070
2023-09-24T00:00:00,96.8,20.99,124.39,934.0649,10.74717,6.858,19.88,27.47,12.27,9.17,18.45,2.267,204.2,1.44,9.57,0,-28.864360,29.395070
2023-09-25T00:00:00,94,56.4,131.9811,941.7319,11.40291,1.016,18.34,22.44,15.14,13.87,15.78,10.49,96.2,2.279,9.35,0,-28.864360,29.395070
2023-09-26T00:00:00,95.9,30.87,112.0063,890.6291,9.676782,4.064,17.7,25.38,11.65,10.79,17.5,-1.939,300.3,1.584,11.82,0,-28.864360,29.395070
2023-09-27T00:00:00,80.5,21.92,268.0291,1020.944,23.15745,0.762,15.95,24.47,7.196,3.582,10.03,0.236,91.1,1.712,7.16,0,-28.864360,29.395070
