"Plot Title: Manz office"
"#","Date Time, GMT+02:00","Event, mm (LGR S/N: 20112198, SEN S/N: 20112198, LBL: Rainfall)","Coupler Detached (LGR S/N: 20112198)","Coupler Attached (LGR S/N: 20112198)","Host Connected (LGR S/N: 20112198)","Stopped (LGR S/N: 20112198)","End Of File (LGR S/N: 20112198)"
423,18/12/20 12:00:30 AM,104.902,,,,,
424,18/12/20 12:02:34 AM,105.156,,,,,
425,18/12/20 12:03:20 AM,105.410,,,,,
426,18/12/20 12:03:57 AM,105.664,,,,,
427,18/12/20 12:04:48 AM,105.918,,,,,
428,18/12/20 12:06:30 AM,106.172,,,,,
429,18/12/20 12:11:04 AM,106.426,,,,,
430,18/12/20 12:17:14 AM,106.680,,,,,
431,18/12/20 12:22:22 AM,106.934,,,,,
432,18/12/20 12:24:29 AM,107.188,,,,,
433,18/12/20 12:25:42 AM,107.442,,,,,
434,18/12/20 12:26:33 AM,107.696,,,,,
435,18/12/20 12:27:07 AM,107.950,,,,,
436,18/12/20 12:27:38 AM,108.204,,,,,
437,18/12/20 12:28:08 AM,108.458,,,,,
438,18/12/20 12:28:43 AM,108.712,,,,,
439,18/12/20 12:29:16 AM,108.966,,,,,
440,18/12/20 12:29:50 AM,109.220,,,,,
441,18/12/20 12:30:21 AM,109.474,,,,,
442,18/12/20 12:30:51 AM,109.728,,,,,
443,18/12/20 12:31:22 AM,109.982,,,,,
444,18/12/20 12:31:45 AM,110.236,,,,,
445,18/12/20 12:32:03 AM,110.490,,,,,
446,18/12/20 12:32:27 AM,110.744,,,,,
447,18/12/20 12:32:49 AM,110.998,,,,,
448,18/12/20 12:33:08 AM,111.252,,,,,
449,18/12/20 12:33:27 AM,111.506,,,,,
450,18/12/20 12:33:47 AM,111.760,,,,,
451,18/12/20 12:34:10 AM,112.014,,,,,
452,18/12/20 12:34:52 AM,112.268,,,,,
453,18/12/20 12:35:25 AM,112.522,,,,,
454,18/12/20 12:36:05 AM,112.776,,,,,
455,18/12/20 12:36:41 AM,113.030,,,,,
456,18/12/20 12:37:04 AM,113.284,,,,,
457,18/12/20 12:37:23 AM,113.538,,,,,
